2019年04月15日(月)16:00出発,16:00→17:451時間45分,16:13→17:481時間35分,16:23→18:041時間41分,16:00発→17:45着1時間45分（乗車1時間37分）,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）
2019年04月15日(月)16:01出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:02出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:03出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:04出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:05出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:06出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:07出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:08出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:09出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:10出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:11出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:12出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:13出発,16:13→17:481時間35分,16:23→18:041時間41分,16:41→18:221時間41分,16:13発→17:48着1時間35分（乗車1時間32分）,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）
2019年04月15日(月)16:14出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:15出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:16出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:17出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:18出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:19出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:20出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:21出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:22出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:23出発,16:23→18:041時間41分,16:41→18:221時間41分,16:41→18:261時間45分,16:23発→18:04着1時間41分（乗車1時間37分）,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）
2019年04月15日(月)16:24出発,16:41→18:221時間41分,16:41→18:261時間45分,16:59→18:401時間41分,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）,16:59発→18:40着1時間41分（乗車1時間35分）
2019年04月15日(月)16:25出発,16:41→18:221時間41分,16:41→18:261時間45分,16:59→18:401時間41分,16:41発→18:22着1時間41分（乗車1時間30分）,16:41発→18:26着1時間45分（乗車1時間40分）,16:59発→18:40着1時間41分（乗車1時間35分）
