2019年04月15日(月)18:00出発,18:00→18:4343分,18:10→18:5141分,18:20→19:0343分,18:00発→18:43着43分（乗車19分）,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）
2019年04月15日(月)18:01出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:02出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:03出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:04出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:05出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:06出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:07出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:08出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:09出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:10出発,18:10→18:5141分,18:20→19:0343分,18:30→19:1141分,18:10発→18:51着41分（乗車18分）,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）
2019年04月15日(月)18:11出発,18:20→19:0343分,18:30→19:1141分,18:40→19:2343分,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）,18:40発→19:23着43分（乗車19分）
2019年04月15日(月)18:12出発,18:20→19:0343分,18:30→19:1141分,18:40→19:2343分,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）,18:40発→19:23着43分（乗車19分）
2019年04月15日(月)18:13出発,18:20→19:0343分,18:30→19:1141分,18:40→19:2343分,18:20発→19:03着43分（乗車19分）,18:30発→19:11着41分（乗車18分）,18:40発→19:23着43分（乗車19分）
